SL no,S/C No.,Name,Address,Phase,Meter Number ,Service Connection number
298,4327,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,g-703,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6914428,95790074327
299,4328,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,g-704,sno.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kuppa",3,6914429,95790074328
300,4329,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,g-801,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6914430,95790074329
301,4330,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,g-802,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6914161,95790074330
302,4331,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,g-803,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6914162,95790074331
303,4332,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,g-804,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6914163,95790074332
304,4333,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,g-901,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6914164,95790074333
305,4334,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,g-902,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6914165,95790074334
306,4335,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,g-903,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6914166,95790074335
307,4336,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,g-904,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6914167,95790074336
308,4337,Casa Grande Homes Pvt. Ltd.,"G-1001,casa Grande Homes,kanathur",3,6914168,95790074337
309,4338,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,g-1002,casa Grande Homes,kanathur Reddy Kuppam ,thirupor",3,6914169,95790074338
310,4339,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,g-1003,casa Grande Homes,kanathur Reddy Kuppam ,thirupor",3,6914170,95790074339
311,4340,Casa Grande Homes Pvt. Ltd.,"G-1004,casa Grande Homes,kanathur",3,6914761,95790074340
312,4341,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,g-1101,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6914762,95790074341
313,4342,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,g-1102,casa Grande Homes,kanathur Reddy Kuppam ,thirupor",3,6914763,95790074342
314,4343,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,g-1103,casa Grande Homes,kanathur Reddy Kuppam ,thirupor",3,6914764,95790074343
315,4344,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,g-1104,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6914765,95790074344
316,4345,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,g-1202,casa Grande Homes,kanathur Reddy Kuppam ,thirupor",3,6914766,95790074345
317,4346,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,g-1203,casa Grande Homes,kanathur Reddy Kuppam ,thirupor",3,6914767,95790074346
318,4347,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,g-1301,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6914768,95790074347
319,4348,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,g-1302,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6914769,95790074348
320,4349,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,g-1303,casa Grande Homes,kanathur Reddy Kuppam ,thirupor",3,6914770,95790074349
321,4350,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,g-1304,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6912431,95790074350
322,4351,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,g-1403,casa Grande Homes,kanathur Reddy Kuppam ,thirupor",3,6912432,95790074351
323,4352,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,h-101,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6912433,95790074352
324,4353,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,h-102,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6912434,95790074353
325,4354,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,h-201,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6912435,95790074354
326,4355,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,h-202,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6912436,95790074355
327,4356,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,h-203,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6912437,95790074356
328,4357,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,h-204,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912438,95790074357
329,4358,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,h-301,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6912439,95790074358
330,4359,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,h-302,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6912440,95790074359
331,4360,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,h-303,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6912631,95790074360
332,4361,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,h-304,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912632,95790074361
333,4362,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,h-401,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912633,95790074362
334,4363,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,h-402,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6912634,95790074363
335,4364,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,h-403,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6912635,95790074364
336,4365,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,h-404,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912636,95790074365
337,4366,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,h-501,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912637,95790074366
338,4367,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,h-502,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6912638,95790074367
339,4368,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,h-503,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912639,95790074368
340,4369,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,h-504,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912640,95790074369
341,4370,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,h-601,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6916271,95790074370
342,4371,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,h-602,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6916272,95790074371
343,4372,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,h-603,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6916273,95790074372
344,4373,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,h-604,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6916274,95790074373
345,4374,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,h-701,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6916275,95790074374
346,4375,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,h-702,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6916276,95790074375
347,4376,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,h-703,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6916277,95790074376
348,4377,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,h-704,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6916278,95790074377
349,4378,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,h-801,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6916279,95790074378
350,4379,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,h-802,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6916280,95790074379
351,4380,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,h-803,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6912261,95790074380
352,4381,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,h-804,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912262,95790074381
353,4382,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,h-901,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912263,95790074382
354,4383,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,h-902,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6912264,95790074383
355,4384,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,h-903,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6912265,95790074384
356,4385,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,h-904,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912266,95790074385
357,4386,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,h-1001,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6912267,95790074386
358,4387,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,h-1002,casa Grande Homes,kanathur Reddy Kuppam ,thirupor",3,6912268,95790074387
359,4388,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,h-1003,casa Grande Homes,kanathur Reddy Kuppam ,thirupor",3,6912269,95790074388
360,4389,Casa Grande Homes Pvt. Ltd.,"H-1004,casa Grande Homes,kanathur",3,6912270,95790074389
361,4390,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,h-1101,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6913751,95790074390
362,4391,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,h-1102,casa Grande Homes,kanathur Reddy Kuppam ,thirupor",3,6913752,95790074391
363,4392,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,h-1103,casa Grande Homes,kanathur Reddy Kuppam ,thirupor",3,6913753,95790074392
364,4393,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,h-1104,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6913754,95790074393
365,4394,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,h-1202,casa Grande Homes,kanathur Reddy Kuppam ,thirupor",3,6913755,95790074394
366,4395,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,h-1203,casa Grande Homes,kanathur Reddy Kuppam ,thirupor",3,6913756,95790074395
367,4396,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,h-1301,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6913757,95790074396
368,4397,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,h-1302,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6913758,95790074397
369,4398,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,h-1303,casa Grande Homes,kanathur Reddy Kuppam ,thirupor",3,6913759,95790074398
370,4399,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,h-1304,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6913760,95790074399
371,4400,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,h-1403,casa Grande Homes,kanathur Reddy Kuppam ,thirupor",3,6916395,95790074400
372,4401,Casa Grande Homes Pvt. Ltd.,"Common,a Block,casa Grande Homes,kanathur",3,6911931,95790074401
373,4402,Casa Grande Homes Pvt. Ltd.,"Common,b, Block,casa Grande Homes,kanathur",3,6911932,95790074402
374,4403,Casa Grande Homes Pvt. Ltd.,"Common,c, Block,casa Grande Homes,kanathur",3,6911933,95790074403
375,4404,Casa Grande Homes Pvt. Ltd.,"Common,d, Block,casa Grande Homes,kanathur",3,6911934,95790074404
376,4405,Casa Grande Homes Pvt. Ltd.,"Common,e, Block,casa Grande Homes,kanathur",3,6911935,95790074405
377,4406,Casa Grande Homes Pvt. Ltd.,"Common,f, Block,casa Grande Homes,kanathur",3,6911936,95790074406
378,4407,Casa Grande Homes Pvt. Ltd.,"Common,g, Block,casa Grande Homes,kanathur",3,6911937,95790074407
379,4408,Casa Grande Homes Pvt. Ltd.,"Common,h, Block,casa Grande Homes,kanathur",3,6911938,95790074408
380,4409,Casa Grande Homes Pvt. Ltd.,"Common,j, Block,casa Grande Homes,kanathur",3,6911939,95790074409
381,4410,Casa Grande Homes Pvt. Ltd.,"Common,k, Block,casa Grande Homes,kanathur",3,6911940,95790074410
382,4411,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,k-101,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6912291,95790074411
383,4412,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,k-102,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912292,95790074412
384,4413,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,k-103,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912293,95790074413
385,4414,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,k-104,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912294,95790074414
386,4415,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,k-201,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912295,95790074415
387,4416,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,k-202,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912296,95790074416
388,4417,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,k-203,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912297,95790074417
389,4418,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,k-204,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912298,95790074418
390,4419,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,k-301,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912299,95790074419
391,4420,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,k-302,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912300,95790074420
392,4421,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,k-303,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6911971,95790074421
393,4422,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,k-304,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6911972,95790074422
394,4423,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,k-401,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6911973,95790074423
395,4424,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,k-402,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6911974,95790074424
396,4425,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,k-403,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6911975,95790074425
397,4426,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,k-404,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6911976,95790074426
398,4427,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,k-501,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6911977,95790074427
399,4428,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,k-502,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6911978,95790074428
400,4429,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,k-503,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6911979,95790074429
401,4430,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,k-504,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6911980,95790074430
402,4431,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,k-601,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6911941,95790074431
403,4432,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,k-602,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6911942,95790074432
404,4433,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,k-603,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6911943,95790074433
405,4434,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,k-604,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6911944,95790074434
406,4435,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,k-701,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6911945,95790074435
407,4436,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,k-702,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6911946,95790074436
408,4437,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,k-703,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6911947,95790074437
409,4438,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,k-704,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6911948,95790074438
410,4439,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,k-801,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6911949,95790074439
411,4440,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,k-804,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6911950,95790074440
412,4441,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,k-901,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913611,95790074441
413,4442,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,k-902,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913612,95790074442
414,4443,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,k-903,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913613,95790074443
415,4444,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,k-904,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913614,95790074444
416,4445,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,k-1001,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6913615,95790074445
417,4446,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,k-1002,s..35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kuppa",3,6913616,95790074446
418,4447,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,k-1003,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6913617,95790074447
419,4448,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,k-1004,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6913618,95790074448
420,4449,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,k-1101,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6913619,95790074449
421,4450,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,k-1102,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6913620,95790074450
422,4451,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,k-1103,casa S.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Redd",3,6915291,95790074451
423,4452,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,k-1104,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6915292,95790074452
424,4453,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,k-1201,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6915293,95790074453
425,4454,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,k-1202,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6915294,95790074454
426,4455,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,k-1203,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6915295,95790074455
427,4456,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,k-1204,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6915296,95790074456
428,4457,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,k-1301,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6915297,95790074457
429,4458,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,k-1302,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6915298,95790074458
430,4459,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,k-1303,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6915299,95790074459
431,4460,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,k-1304,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6915300,95790074460
432,4461,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,k-1401,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6916391,95790074461
433,4462,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,k-1402,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6916392,95790074462
434,4463,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,k-1403,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6916393,95790074463
435,4464,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,k-1404,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6916394,95790074464
436,4465,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,j-101,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",1,5676201,95790074465
437,4466,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,j-102casa Grande,s.no.35/2a2,2b2,36/2b,3,37/1,2,kan",1,5676202,95790074466
438,4467,Casa Grande Homes Pvt. Ltd.,"M/s.m/s.s.prabhu Kumar,j-103 Casa Grande,s.no.35/2a2,2b2,36/2b,3,37/1,",1,5676203,95790074467
439,4468,Casa Grande Homes Pvt. Ltd.,"S/o.m/s.s.prabhu Kumar,j-104 Casa Grande,s.no.35/2a2,2b2,36/2b,3,37/1,",1,5676204,95790074468
440,4469,Casa Grande Homes Pvt. Ltd.,"S/o.s.prabhu Kumar,j-105 Casa Grande,s.no.35/2a2,2b2,36/2b,3,37/1,2,ka",1,5676205,95790074469
441,4470,Casa Grande Homes Pvt. Ltd.,"M/s.prabhu Kumar,j-106 Casa Grande,s.no.35/2a2,2b2,36/2b,3,37/1,2,kana",1,5676206,95790074470
442,4471,Casa Grande Homes Pvt. Ltd.,"S/o.prabhu Kumar,j-107,casa Grande Homes Pvt.ltd.,,kanathur Reddy Kuppam ,t",1,5676207,95790074471
443,4472,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,j-108,casa Grande Homes Pvt.ltd.,,kanathur Reddy Kuppam",1,5676208,95790074472
444,4473,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,j-109,casa Grande Homes Pvt.ltd.,,kanathur Reddy Kuppam",1,5676209,95790074473
445,4474,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,j-110,casa Grande Homes Pvt.ltd.,,kanathur Reddy Kuppam",1,5676210,95790074474
446,4475,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,j-111,casa Grande Homes Pvt.ltd.,,kanathur Reddy Kuppam",1,5676211,95790074475
447,4476,Casa Grande Homes Pvt. Ltd.,"M/s.m/s.s.prabhu Kumar,j-201,casa Grande Homes Pvt.ltd.,,kanathur Reddy Kup",1,5676212,95790074476
448,4477,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,j-202,casa Grande Homes Pvt.ltd.,,kanathur Reddy Kuppam",1,5676213,95790074477
449,4478,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,j-203,casa Grande Homes Pvt.ltd.,,kanathur Reddy Kuppam",1,5676214,95790074478
450,4479,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,j-204,casa Grande Homes Pvt.ltd.,,kanathur Reddy Kuppam",1,5676217,95790074479
451,4480,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,j-205,casa Grande Homes Pvt.ltd.,,kanathur Reddy Kuppam",1,5676216,95790074480
452,4481,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,j-206,casa Grande Homes Pvt.ltd.,,kanathur Reddy Kuppam",1,5676217,95790074481
453,4482,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,j-207,casa Grande Homes Pvt.ltd.,,kanathur Reddy Kuppam",1,5676218,95790074482
