SL no,S/C No.,Name,Address,Phase,Meter Number ,Service Connection number
75,4104,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-1203,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6913445,95790074104
76,4105,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-1204,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6913446,95790074105
77,4106,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-1301,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6913447,95790074106
78,4107,Casa Grande Homes Pvt. Ltd.,"B-1304,casa Grande Homes,kanathur Reddy",3,6913448,95790074107
79,4108,Casa Grande Homes Pvt. Ltd.,"B-1401,casa Grande Homes,kanathur Reddy",3,6913449,95790074108
80,4109,Casa Grande Homes Pvt. Ltd.,"B-1404,casa Grande Homes,kanathur Reddy",3,6913450,95790074109
81,4110,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,c-102,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6914501,95790074110
82,4111,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,c-103,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6914502,95790074111
83,4112,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,c-104,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6914503,95790074112
84,4113,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,c-201,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6914504,95790074113
85,4114,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,c-202,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6914505,95790074114
86,4115,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,c-203,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6914506,95790074115
